,label,text
59209,0,酒店的环境只能用两个字形容垃圾，早餐叫人恶心，都不新鲜煎蛋我只吃了一口就涂吐掉了，而且工作人员不带口罩，对着食品聊天，喷的吐沫星子全都落到上面。卫生间味道都是发霉的味道加上走廊。被褥不知道用了多少年了没换过。毛巾黑了吧唧的。我就没敢用.后悔。这种酒店还收停车费，一次十元，太黑。这种酒店最多就是个县城的招待所，最多值100元/天，200多一天太贵，不值
37765,0,也不叫蒙牛、伊利
60213,0,也就是离机场比较近，有摆渡车，否则绝对不会住的。598的豪华大床，房间小，床更小。wifi信号差，电视节目只有5个频道。也就是个三星级招待所的感觉，早餐种类也少。非常一般的酒店
21075,1,最急这种苹果买了几次了，整体感觉还不错，没有冰糖心的甜，但感觉储存的挺好，新鲜程度还好。这次买的比前几次略大些，京东自营送货一直有保证。
61262,0,"本人3月20晚住该店一晚，为的是3月21日早上我要坐早班飞机。20日晚上10点在1号航站楼等接客的饭店客车，依维柯车来了，可是，等车的客人有30多人，车太小，人太多，时间晚了，国人和老外都只能全挤在这个小小的空间。大家都活像沙丁鱼，身体贴身体，头贴头的。不过，除了，车速有点快之外，倒也互相谦让地安全到了饭店。 第二天早上6点，饭店的大巴送客去机场，座位倒也有，也舒适。可是，那个大个子司机服务就有点差劲了。我是去2号楼的，就见大巴一下停在大楼的底层，大个子司机操作难以听懂的地方话叫了几句，有3个结伙客人下来了，我一下子琢磨不透，怕误了机，赶紧下来，真巧，大个子司机也下来打开行李仓门，我赶紧问，一边拉出自己的箱子，一边问，这是2号楼吗?,大个子司机很不耐烦说，上去上去。 我又重新上车。车发动了。几分钟后，大巴又停了。哦，是1号楼。我和其余2个住客还坐在车上。大个子司机吼了，下车下车！。我说，我去2号楼。大个子司机回话，刚刚去过了。我说，我刚才问你是不是2号楼，你说上去上去的。要我不要下车的。大个子司机不语。后说，上去坐摆渡车吧。说后扬长走车了。 本人可能文化程度差，没能听懂大个子司机的夹杂地方语的报站。可是，作为接待各地不同民族的饭店，需要有能耐心和能够稍稍讲一点都能听懂的普通话来接待客人。我也不苛求需要多么标准的语言。这一点，我想我的要求也不过分。希望以后饭店能够有所改进，同时希望住该饭店的客人，遇上坐早班车赶时间时，可要注意了，多瞧多问边上其他坐客，不要误了下车。"
16247,1,真心的不错，干净，甜，，味道美
3559,0,读此书几章，是难读完！内容好像是***宣传的东西，叫人逆来顺受，凡事忍气吞声，强调调节自己的心情。类似阿Q精神自我释然。读本书不能让人精神气爽，更不能让人励精图治，也不像散文让人清净。总之超作胜于本书价值！
58468,0,房间内部设施老旧，修电的老工人敲错门，居然不会说普通话，在那里自言自语后就走了。空调的声音比外面的飞机发动机声音还响，睡到半夜空调自己停了，冬醒后听着飞机的隆隆声再也没睡着
8173,1,这款平板美观，音质好，音量大，也比较清晰，是一款比较好的平板。
3838,0,《求医不如求己》这套书非常实用，我已推荐给很多朋友，瞧我的订单，有好几个都是购这套书的，都是送给朋友或替朋友买的，朋友说我都成了“大忽悠”了。其实不是我能忽悠，是书确实好，营销学上讲，把好的新产品推销出去，叫营销，把不好的产品推销出去，叫骗销，我是把好的产品介绍给朋友，共同受益，显然不应在骗销之列。
16272,1,口感一般，这次购物很失望啊，以后还能不能网购水果啊
26860,1,沙宣品牌值得信赖，控油效果不错
26281,1,很实惠！特别感谢，媳妇用了。是真的，618买。真划算！！特别是快递小哥，服务特别周到。给京东快递小哥1000分好评
46125,0,线头多多，掉色利害，异味重！不值这价钱！懒得退货！总之不太好！
8005,1,一，昨天订的平板今天又到了，非常漂亮，半边脸都挡住了，就是有点大，音质不用问了，哈曼的，反应很流畅，目前开机使用情况正常，运行王者荣耀流畅，其余待使用后评价。
6181,1,东西不错，屏幕清晰，速度快，大小合适，看电视，玩游戏都不错，快递师傅很热情，下单送货速度很快
32301,0,假的，洗完头发没一两天头发就很臭！！赶着双十一的活动以为捡了大便宜原来是个坑。
3376,0,很一般，如果是在书店看了点内容，就不会买！
45329,0,大小合适，穿着也比较不错，做工也不错，非常满意
33094,0,我想知道这是什么意思！
10998,0,手机电不顶用，刚买了玩一会就有点发热，不支持买着个手机，换一个吧
49073,1,4599时买的，送了个包 整体显蓝色，还蛮漂亮，用了1天还没发现什么问题。 不过买了以后就降价到4555了，蛮好再等2天的。
57280,1,挂牌四星级，但实际感觉不够标准，不过房间还算比较干净。马桶居然是TOTO的，其他洁具也都是名牌，比较好用，衣柜中有感应灯还有一个小保险柜，柜子中还有一个小冰箱，阳台上可以晒衣服，唯一不足的是楼下在施工，有点吵，过道有股潮味。酒店位置还可以，楼下过马路就是椰海长廊
39562,1,不错，大小正好挺好的，物流有些慢总体来说五颗星好好
1688,1,读了这本书觉得很受用。这本是一本关于心理方面的书，其中讲到的很多问题都是贴近生活的，比如自己曾经经历过的或者是身边人也经历过的。感觉在某种程度上受到了心灵的感召，或者说，像是一个经验丰富的长者向你娓娓道来人生的道理，揭示出在人生路上遇到的某种不知所措的困难，告诉你解决的办法。比如书中提到推迟满足感，就很受用，让我在学习方法遇到瓶颈的时候提供了一种新的动力。
11175,0,开机就是坏的对产品质量严重怀疑你们没有质检吗？大过年的给家人买个平板打开就坏的恶心死了
38872,1,第二次买啦，上次买的非常舒服好穿，所以决定回购。这次的质量也没有让人失望，会推荐朋友来的。
48234,0,差差差，第一次被坑还*拍32裤洗后变成28的裤子。千万别上当哥们了。
4211,1,到货速度很快，使用后再评价。
61805,0,"我在晚上6点30左右入住的,当时是一位男服务员为我登记,我问他可不可以作信用卡预授权，他说不可以但建议我可以用现金作为押金到退房时可以用信用卡消费．房间很大但很旧，电视机只能收到４个台的节目，在第三天我退房时要求用信用卡消费，当时一位女服务员说我之前是用现金作为押金是不可以再用信用卡消费的，还反问我说如果我要消费的话在入住时为什么不做预授权，当时我就把之前那位男服务员说的话跟他说一次后又反口说是因为现在机器坏了不能用，我跟她说我在３０分钟之前见到有一位客人才用信用卡消费过，为什么会这么快就坏了，她见我态度那么强硬就帮我用卡消费了，事实上证明了刷卡机并没有坏，当时因为我们赶着到机场坐飞机就没有再跟她理论了，但一直觉得心中有气．"
51888,0,1.稍微有点厚 2.对硬盘做了一个初步测试，读写速度一般，但cpu占用率较高。 3.随机附带的驱动光盘只有vista驱动，无法适用于XP 4.读卡器插入有点卡，不方便。
34871,0,清扬不好使，用完头发像草是的。不买清扬了
36437,1,装上了，一切都还好。防电墙有了，就是没有防漏电开关，如果有的话就更好了。价格划算。发票也有。
42020,1,面料摸起来很软，面料质量不错 合身，大小合适 做工不错
44336,0,感觉受骗了，京东现在的货品质量越来越差。
19843,1,苹果一般般，外观挺红的，味道有一些挺甜，一些没那么田，有一个心黑了，不行，下次不买了。
48224,0,最差的一次购物体验。
2230,0,这本书完全是根据这部电影走红后出版的商业书。内容很不全。里面收集了张的很多长篇小说，但都简化了。
33280,0,买的时候图片上有吹风机，邮回来没有，问卖家卖家不承认～～～京东，我也是无语了～～～
44610,0,拍的宝贝是XL的，结果给我发成L的，结果还让我自己出邮费换，再三跟客服强调要2XL的，客服也答应给我发2XL，结果还是发错了，就是这样不用心的对待客户订单么，太差劲了
28310,1,现在我越来越懒宁愿在京东超市买也不愿意去超市买东西啦。哎。
26743,1,收到了 在超市都要一百多，很满意，物有所值。
51373,0,风扇声音有点大，而且叫起来是间歇性的，跟老公的DELL本本放一起，就感觉我的本本很聒噪，不知道这个是叫法是普遍现象还是个别情况呢？不过可能正是风扇的声音够大，所以散热很不错，其他的暂时还没发现问题。
33738,0,一点都不好用，洗了之后会有头皮屑，以前用的是沙宣都不会有头皮屑，以后再也不买了
37791,0,反正我不喝蒙牛
30241,1,这次购买真是让人生气，差不多等了8天才到，这期间一直有联系京东客服，但还是无解，都没去看啥原因就是说现在没货，没货的话页面上为啥显示还能购买？什么京东自营，物流这么慢，多次打电话还是这样，不单单是这个订单，其他订单也是这样，偏远点的就不说啥了，这个市区里的还能配送个8天，难道还能针对客户的？再说了，我也没得罪你们吧？投诉建议了也没管用啊？？？就这样不了了之的过去了，也没给个说法呀？？？
40178,1,买的裤子质量很好，穿起来挺舒服的，不错，我喜欢，下次还来
26878,1,昨天刚下单，今天就收到了，物流超快！拆开没有损坏，效果等用了再来评！
25635,0,苹果都干瘪了，借着促销，卖这种苹果。就这苹果根本不值这个价钱。
